Company_ID,Industry,Company_Size,Annual_Revenue (M₺),Marketing_Spend (K₺),Campaign_Type,Leads_Generated,Conversion_Rate (%),Region,District,Last_Product_1,Last_Product_2,Frequency_of_Purchase,Days_Since_Last_Purchase,Contract_Status,Total_Purchases_Last_Year,Payment_Behavior,Preferred_Channel,Sales_Rep
C0011,Data centres,Medium,42.4,18,LinkedIn Ads,9,0.7,Konya,Meram,Low-voltage power systems,Energy storage systems,Yearly,191,Active,1,On-time,Email,D**** S*******
C0012,Aerospace,Small,9.1,28,SEM,4,0.5,Izmir,Karsiyaka,Actuators & motion control,Engine solutions,Yearly,269,Active,1,On-time,Sales Rep,F**** O*******
C0013,Residential,Small,1.0,9,Trade Show,10,0.3,Adana,Seyhan,Conduit & cable management,Electronic components,Quarterly,62,Active,3,On-time,Dealer,F**** O*******
C0014,Machine building,Large,128.1,34,Email,13,0.8,Istanbul,Atasehir,Actuators & motion control,Clutches and brakes,Monthly,20,Active,10,Occasional delay,Sales Rep,D**** S*******
C0015,Healthcare,Medium,39.9,25,SEM,2,0.7,Zonguldak,Kozlu,Safety & emergency comms,Electronic components,Monthly,22,Active,8,Occasional delay,Email,F**** O*******
C0016,Machine building,Small,3.3,12,Email,7,0.6,Zonguldak,Kozlu,Actuators & motion control,Hydraulic motors & generators,Monthly,30,Active,10,On-time,Sales Rep,G**** R*******
C0017,Food & beverage,Small,7.3,25,Content Marketing,3,0.9,Kocaeli,Korfez,Valves,Filtration solutions,Quarterly,81,Pending,4,On-time,Sales Rep,G**** R*******
C0018,Vehicles,Small,8.5,12,Webinar,5,0.5,Izmir,Konak,Vehicle controls & automation,Transmissions,Monthly,20,Expired,12,Occasional delay,Sales Rep,H**** N*******
C0019,Vehicles,Medium,20.0,17,Content Marketing,6,0.3,Kocaeli,Gebze,Vehicle controls & automation,Transmissions,Quarterly,60,Active,6,On-time,Sales Rep,E**** T*******
C0020,Vehicles,Small,2.4,8,Email,5,0.7,Antalya,Kepez,Transmissions,Engine solutions,Yearly,234,Active,1,On-time,Dealer,B**** K*******
C0021,Healthcare,Medium,20.4,43,Trade Show,5,1.0,Ankara,Cankaya,Life support systems,Electronic components,Yearly,309,Pending,1,On-time,Dealer,A**** Y*******
C0022,Data centres,Medium,35.0,35,Trade Show,13,0.9,Ankara,Cankaya,"Server racks, enclosures",Low-voltage power systems,Monthly,7,Active,14,On-time,Online,B**** K*******
C0023,Data centres,Small,2.1,22,Content Marketing,10,0.6,Eskisehir,Tepebasi,"Server racks, enclosures",Energy storage systems,Yearly,341,Expired,1,On-time,Sales Rep,G**** R*******
C0024,Healthcare,Small,7.1,23,Email,5,1.1,Konya,Meram,Safety & emergency comms,Life support systems,Monthly,23,Active,8,Late,Online,A**** Y*******
C0025,Food & beverage,Small,6.7,16,SEM,6,1.1,Konya,Selcuklu,Pumps,Valves,Monthly,14,Active,9,On-time,Sales Rep,G**** R*******
C0026,Utilities,Small,2.3,24,Webinar,9,1.0,Eskisehir,Tepebasi,Low-voltage power systems,Medium-voltage power systems,Yearly,271,Active,2,On-time,Email,H**** N*******
C0027,Machine building,Medium,47.9,38,SEM,13,0.1,Eskisehir,Tepebasi,Hydraulic motors & generators,Actuators & motion control,Monthly,7,Active,12,On-time,Sales Rep,D**** S*******
C0028,Residential,Medium,37.2,27,Email,9,1.3,Istanbul,Atasehir,Electronic components,Wiring devices & connectivity,Occasionally,223,Expired,0,On-time,Online,F**** O*******
C0029,Vehicles,Small,6.0,29,Webinar,2,1.2,Zonguldak,Kozlu,Transmissions,Engine solutions,Yearly,223,Active,2,On-time,Sales Rep,E**** T*******
C0030,Food & beverage,Small,4.2,20,SEM,7,1.4,Istanbul,Sariyer,Filtration solutions,Valves,Monthly,24,Active,12,On-time,Email,E**** T*******
C0031,Data centres,Medium,34.5,43,Trade Show,6,0.8,Istanbul,Kartal,Energy storage systems,Low-voltage power systems,Occasionally,356,Active,2,On-time,Email,C**** D*******
C0032,Aerospace,Small,4.7,12,Email,6,0.7,Antalya,Kepez,Actuators & motion control,Engine solutions,Yearly,172,Pending,1,Occasional delay,Sales Rep,E**** T*******
C0033,Aerospace,Large,144.9,40,Content Marketing,9,0.8,Kocaeli,Izmit,Electrical circuit protection,Actuators & motion control,Yearly,199,Pending,2,Late,Sales Rep,C**** D*******
C0034,"Mining, metals & minerals",Medium,34.8,21,Content Marketing,3,0.7,Kocaeli,Izmit,Process safety & automation,Valves,Quarterly,89,Active,5,Late,Sales Rep,F**** O*******
C0035,Vehicles,Small,5.7,22,Email,11,0.8,Ankara,Cankaya,Vehicle controls & automation,Transmissions,Monthly,15,Active,15,On-time,Dealer,H**** N*******
C0036,Machine building,Small,2.6,22,SEM,3,0.6,Eskisehir,Tepebasi,Hydraulic motors & generators,Actuators & motion control,Monthly,9,Active,9,On-time,Sales Rep,A**** Y*******
C0037,Vehicles,Small,4.3,18,Email,10,0.8,Kayseri,Melikgazi,Vehicle controls & automation,Transmissions,Monthly,21,Pending,9,On-time,Dealer,D**** S*******
C0038,Oil & gas,Small,6.6,14,Webinar,9,1.5,Izmir,Konak,Process safety & automation,Fuel systems & emissions,Quarterly,82,Pending,4,On-time,Online,F**** O*******
C0039,Residential,Medium,17.3,40,Webinar,13,0.6,Konya,Meram,Wiring devices & connectivity,Electronic components,Monthly,13,Active,12,On-time,Online,G**** R*******
C0040,Data centres,Small,4.0,27,SEM,7,0.4,Antalya,Muratpasa,"Server racks, enclosures",Low-voltage power systems,Monthly,26,Active,12,On-time,Sales Rep,C**** D*******
C0041,Oil & gas,Medium,13.2,27,Webinar,3,1.1,Kocaeli,Izmit,Medium-voltage power systems,Fuel systems & emissions,Monthly,28,Active,13,Late,Dealer,H**** N*******
C0042,Vehicles,Small,9.7,23,Content Marketing,2,0.9,Eskisehir,Odunpazari,Transmissions,Engine solutions,Monthly,9,Active,13,On-time,Dealer,A**** Y*******
C0043,Oil & gas,Small,1.6,30,Email,6,1.5,Izmir,Cigli,Medium-voltage power systems,Process safety & automation,Monthly,9,Pending,13,On-time,Email,C**** D*******
C0044,Vehicles,Small,9.3,23,SEM,10,0.6,Antalya,Kepez,Vehicle controls & automation,Engine solutions,Yearly,184,Active,1,On-time,Dealer,F**** O*******
C0045,Space,Small,8.3,16,Webinar,2,0.8,Konya,Selcuklu,Energy storage systems,Medium-voltage power systems,Yearly,343,Active,2,On-time,Dealer,F**** O*******
C0046,"Mining, metals & minerals",Medium,37.7,41,Webinar,8,1.4,Kayseri,Kocasinan,"Hose, tubing, fittings",Process safety & automation,Occasionally,276,Active,0,Occasional delay,Sales Rep,F**** O*******
C0047,Healthcare,Medium,23.7,18,Content Marketing,9,1.5,Bursa,Osmangazi,Safety & emergency comms,Life support systems,Quarterly,90,Active,5,On-time,Sales Rep,E**** T*******
C0048,Space,Small,3.0,16,LinkedIn Ads,9,0.9,Ankara,Cankaya,Energy storage systems,Actuators & motion control,Monthly,12,Active,11,On-time,Email,E**** T*******
C0049,Space,Medium,25.0,17,Email,7,0.6,Bursa,Nilufer,Actuators & motion control,Energy storage systems,Yearly,150,Active,1,On-time,Dealer,G**** R*******
C0050,Residential,Small,8.1,20,LinkedIn Ads,12,0.6,Kocaeli,Izmit,Conduit & cable management,Electronic components,Quarterly,86,Expired,4,On-time,Sales Rep,C**** D*******
C0051,Oil & gas,Small,2.5,6,SEM,7,0.6,Istanbul,Sariyer,Medium-voltage power systems,Process safety & automation,Occasionally,356,Pending,1,On-time,Sales Rep,G**** R*******
C0052,"Mining, metals & minerals",Small,8.2,14,Trade Show,9,0.6,Izmir,Cigli,Process safety & automation,"Hose, tubing, fittings",Monthly,23,Active,14,On-time,Dealer,F**** O*******
C0053,Food & beverage,Small,8.8,29,Webinar,3,0.7,Sakarya,Serdivan,Pumps,Filtration solutions,Quarterly,88,Active,6,On-time,Sales Rep,C**** D*******
C0054,Oil & gas,Small,8.2,9,LinkedIn Ads,4,0.8,Adana,Seyhan,Medium-voltage power systems,Fuel systems & emissions,Quarterly,75,Expired,6,On-time,Sales Rep,G**** R*******
C0055,Space,Small,2.9,6,Content Marketing,3,0.4,Ankara,Yenimahalle,Energy storage systems,Actuators & motion control,Quarterly,71,Active,6,On-time,Dealer,B**** K*******
C0056,Data centres,Large,166.9,37,Webinar,8,0.5,Istanbul,Kartal,Low-voltage power systems,"Server racks, enclosures",Monthly,18,Active,8,On-time,Sales Rep,F**** O*******
C0057,Food & beverage,Small,9.1,22,Trade Show,11,0.2,Istanbul,Atasehir,Valves,Filtration solutions,Quarterly,71,Active,5,On-time,Sales Rep,G**** R*******
C0058,Oil & gas,Small,6.7,17,Trade Show,11,1.0,Ankara,Mamak,Fuel systems & emissions,Process safety & automation,Occasionally,372,Active,2,Occasional delay,Sales Rep,C**** D*******
C0059,Food & beverage,Medium,21.9,29,Webinar,7,0.5,Bursa,Yildirim,Valves,Pumps,Monthly,7,Active,11,On-time,Dealer,B**** K*******
C0060,Buildings,Small,1.7,23,LinkedIn Ads,10,1.0,Zonguldak,Kozlu,Wiring devices & connectivity,Lighting & controls,Yearly,257,Expired,2,On-time,Sales Rep,E**** T*******
C0061,Aerospace,Small,9.6,16,SEM,9,1.2,Antalya,Kepez,Actuators & motion control,Electrical circuit protection,Quarterly,67,Expired,3,On-time,Dealer,A**** Y*******
C0062,Space,Small,10.0,19,Trade Show,8,1.0,Konya,Selcuklu,Energy storage systems,Medium-voltage power systems,Yearly,208,Pending,1,Occasional delay,Sales Rep,C**** D*******
C0063,Space,Small,6.9,14,SEM,6,0.0,Zonguldak,Eregli,Medium-voltage power systems,Energy storage systems,Quarterly,63,Active,3,Occasional delay,Dealer,E**** T*******
C0064,Buildings,Small,8.8,6,SEM,8,1.3,Bursa,Osmangazi,Lighting & controls,Conduit & cable management,Yearly,211,Active,1,On-time,Sales Rep,A**** Y*******
C0065,Residential,Small,5.7,23,Webinar,3,0.4,Konya,Meram,Conduit & cable management,Electronic components,Monthly,18,Active,14,On-time,Dealer,D**** S*******
C0066,Healthcare,Medium,13.6,41,SEM,3,0.5,Konya,Selcuklu,Safety & emergency comms,Life support systems,Occasionally,238,Active,0,On-time,Dealer,B**** K*******
C0067,Residential,Small,2.7,24,Email,10,0.7,Ankara,Etimesgut,Electronic components,Wiring devices & connectivity,Quarterly,83,Pending,5,On-time,Sales Rep,G**** R*******
C0068,Food & beverage,Small,1.8,27,Email,4,0.4,Konya,Meram,Filtration solutions,Pumps,Yearly,158,Active,1,On-time,Sales Rep,H**** N*******
C0069,Oil & gas,Small,1.4,18,Content Marketing,6,0.8,Izmir,Cigli,Process safety & automation,Medium-voltage power systems,Quarterly,93,Active,6,On-time,Online,C**** D*******
C0070,Utilities,Small,4.0,11,SEM,7,1.2,Sakarya,Arifiye,Low-voltage power systems,Utility & grid solutions,Yearly,194,Active,2,Occasional delay,Sales Rep,H**** N*******
C0071,"Mining, metals & minerals",Small,8.4,26,Trade Show,12,0.8,Ankara,Mamak,Process safety & automation,"Hose, tubing, fittings",Monthly,17,Active,10,On-time,Sales Rep,A**** Y*******
C0072,Vehicles,Small,9.4,8,LinkedIn Ads,5,0.8,Kayseri,Kocasinan,Transmissions,Engine solutions,Quarterly,81,Active,3,On-time,Dealer,C**** D*******
C0073,Vehicles,Medium,15.2,16,Webinar,4,0.8,Bursa,Osmangazi,Engine solutions,Transmissions,Monthly,13,Active,14,Occasional delay,Sales Rep,H**** N*******
C0074,Food & beverage,Small,3.5,29,Trade Show,6,0.4,Kayseri,Kocasinan,Valves,Filtration solutions,Monthly,29,Expired,12,On-time,Online,G**** R*******
C0075,Data centres,Small,6.9,14,Content Marketing,10,0.9,Kayseri,Kocasinan,"Server racks, enclosures",Energy storage systems,Quarterly,66,Pending,5,On-time,Email,B**** K*******
C0076,Residential,Small,6.4,20,Email,7,1.0,Kocaeli,Gebze,Conduit & cable management,Wiring devices & connectivity,Monthly,28,Active,15,On-time,Sales Rep,B**** K*******
C0077,Buildings,Small,6.4,12,Webinar,10,0.8,Adana,Ceyhan,Conduit & cable management,Wiring devices & connectivity,Monthly,29,Active,13,On-time,Dealer,D**** S*******
C0078,Oil & gas,Small,3.9,18,Email,5,0.6,Eskisehir,Odunpazari,Fuel systems & emissions,Process safety & automation,Monthly,10,Active,14,On-time,Online,B**** K*******
C0079,Aerospace,Large,77.4,40,Email,3,1.2,Kayseri,Melikgazi,Electrical circuit protection,Engine solutions,Monthly,24,Active,15,Occasional delay,Dealer,C**** D*******
C0080,Vehicles,Medium,13.3,22,Trade Show,4,1.0,Eskisehir,Tepebasi,Transmissions,Engine solutions,Occasionally,352,Pending,0,On-time,Dealer,B**** K*******
C0081,Data centres,Small,10.0,29,SEM,7,1.2,Eskisehir,Tepebasi,Energy storage systems,Low-voltage power systems,Yearly,186,Pending,2,Occasional delay,Dealer,B**** K*******
C0082,Residential,Small,7.5,17,Webinar,8,0.8,Eskisehir,Tepebasi,Conduit & cable management,Wiring devices & connectivity,Quarterly,71,Active,5,On-time,Online,C**** D*******
C0083,Food & beverage,Medium,17.2,44,Trade Show,7,0.2,Sakarya,Arifiye,Valves,Filtration solutions,Quarterly,84,Active,6,On-time,Sales Rep,A**** Y*******
C0084,Healthcare,Small,6.3,20,SEM,11,0.8,Izmir,Cigli,Safety & emergency comms,Life support systems,Monthly,14,Active,12,Occasional delay,Sales Rep,D**** S*******
C0085,Aerospace,Small,4.2,14,Content Marketing,6,1.0,Adana,Seyhan,Electrical circuit protection,Engine solutions,Yearly,283,Active,2,On-time,Email,A**** Y*******
C0086,Food & beverage,Small,6.8,11,Email,2,1.1,Izmir,Cigli,Valves,Filtration solutions,Quarterly,79,Active,3,On-time,Sales Rep,A**** Y*******
C0087,Residential,Small,3.3,18,Webinar,5,0.5,Zonguldak,Eregli,Conduit & cable management,Electronic components,Occasionally,308,Active,2,On-time,Online,F**** O*******
C0088,Aerospace,Medium,47.8,30,Email,13,1.0,Kayseri,Kocasinan,Electrical circuit protection,Actuators & motion control,Yearly,345,Active,1,Late,Online,H**** N*******
C0089,Space,Small,2.4,20,Email,10,0.7,Kayseri,Kocasinan,Actuators & motion control,Medium-voltage power systems,Quarterly,63,Active,4,Late,Online,G**** R*******
C0090,Utilities,Small,3.7,21,LinkedIn Ads,8,0.6,Antalya,Konyaalti,Low-voltage power systems,Utility & grid solutions,Monthly,29,Active,8,On-time,Sales Rep,B**** K*******
C0091,Oil & gas,Small,6.6,17,LinkedIn Ads,7,0.2,Bursa,Yildirim,Process safety & automation,Fuel systems & emissions,Monthly,27,Pending,13,Occasional delay,Dealer,E**** T*******
C0092,"Mining, metals & minerals",Medium,12.9,35,Content Marketing,6,0.9,Kocaeli,Korfez,"Hose, tubing, fittings",Valves,Monthly,8,Active,15,On-time,Email,D**** S*******
C0093,Space,Small,7.4,12,SEM,8,0.5,Zonguldak,Kozlu,Energy storage systems,Medium-voltage power systems,Monthly,14,Active,12,Late,Dealer,G**** R*******
C0094,Vehicles,Small,6.7,29,Webinar,10,1.0,Eskisehir,Tepebasi,Engine solutions,Transmissions,Quarterly,83,Active,4,Late,Online,A**** Y*******
C0095,Healthcare,Small,7.6,26,SEM,5,0.7,Antalya,Konyaalti,Life support systems,Safety & emergency comms,Monthly,16,Active,9,On-time,Sales Rep,E**** T*******
C0096,Vehicles,Small,6.7,11,Email,3,0.4,Izmir,Konak,Engine solutions,Transmissions,Quarterly,62,Active,4,Occasional delay,Dealer,G**** R*******
C0097,Food & beverage,Medium,33.1,17,Email,5,0.6,Kayseri,Kocasinan,Valves,Pumps,Monthly,8,Active,12,On-time,Online,C**** D*******
C0098,Machine building,Small,7.1,11,LinkedIn Ads,8,0.4,Sakarya,Serdivan,Hydraulic motors & generators,Actuators & motion control,Monthly,7,Active,9,On-time,Dealer,B**** K*******
C0099,Residential,Small,4.7,16,Content Marketing,9,0.6,Adana,Seyhan,Conduit & cable management,Electronic components,Occasionally,427,Pending,0,On-time,Dealer,B**** K*******
C0100,Aerospace,Small,5.6,9,LinkedIn Ads,3,0.3,Konya,Selcuklu,Actuators & motion control,Engine solutions,Monthly,29,Active,8,Occasional delay,Sales Rep,B**** K*******
C0101,Machine building,Medium,29.9,41,Email,11,1.5,Adana,Seyhan,Clutches and brakes,Hydraulic motors & generators,Yearly,283,Pending,1,On-time,Sales Rep,E**** T*******
C0102,Utilities,Small,4.1,29,Email,7,1.0,Istanbul,Beylikduzu,Medium-voltage power systems,Low-voltage power systems,Quarterly,60,Pending,4,Occasional delay,Sales Rep,C**** D*******
C0103,Residential,Small,2.1,17,Trade Show,5,0.5,Kocaeli,Gebze,Wiring devices & connectivity,Conduit & cable management,Monthly,6,Active,11,On-time,Dealer,B**** K*******
C0104,Buildings,Small,7.8,20,Email,4,0.7,Antalya,Muratpasa,Wiring devices & connectivity,Conduit & cable management,Yearly,264,Active,1,On-time,Dealer,G**** R*******
C0105,"Mining, metals & minerals",Small,2.6,21,Trade Show,5,1.4,Izmir,Konak,"Hose, tubing, fittings",Process safety & automation,Quarterly,81,Active,4,On-time,Email,G**** R*******
C0106,Utilities,Small,8.1,20,Trade Show,2,0.4,Antalya,Kepez,Medium-voltage power systems,Low-voltage power systems,Monthly,25,Pending,12,Late,Dealer,C**** D*******
C0107,Utilities,Small,8.6,7,Content Marketing,3,0.0,Bursa,Osmangazi,Low-voltage power systems,Medium-voltage power systems,Quarterly,80,Pending,4,Late,Online,A**** Y*******
C0108,Buildings,Small,3.3,26,Trade Show,12,0.6,Zonguldak,Eregli,Wiring devices & connectivity,Lighting & controls,Monthly,26,Active,15,Occasional delay,Dealer,E**** T*******
C0109,Vehicles,Small,7.1,6,Trade Show,4,0.3,Kayseri,Kocasinan,Transmissions,Engine solutions,Yearly,284,Active,1,On-time,Sales Rep,F**** O*******
C0110,Oil & gas,Small,1.2,7,Email,10,0.5,Ankara,Yenimahalle,Fuel systems & emissions,Process safety & automation,Monthly,21,Active,11,Occasional delay,Dealer,B**** K*******
C0111,Buildings,Small,2.1,17,Content Marketing,3,0.7,Adana,Seyhan,Lighting & controls,Conduit & cable management,Monthly,29,Active,15,On-time,Dealer,F**** O*******
C0112,Healthcare,Small,5.5,5,Webinar,8,0.5,Zonguldak,Kozlu,Electronic components,Safety & emergency comms,Monthly,19,Active,9,On-time,Email,F**** O*******
C0113,"Mining, metals & minerals",Small,2.6,19,Trade Show,3,0.9,Bursa,Yildirim,"Hose, tubing, fittings",Valves,Occasionally,267,Active,0,Occasional delay,Online,C**** D*******
C0114,Data centres,Small,1.8,19,LinkedIn Ads,11,0.6,Adana,Ceyhan,Energy storage systems,"Server racks, enclosures",Quarterly,62,Active,3,On-time,Online,B**** K*******
C0115,Space,Medium,42.6,36,Email,5,1.2,Eskisehir,Odunpazari,Actuators & motion control,Medium-voltage power systems,Yearly,355,Pending,2,Occasional delay,Dealer,H**** N*******
C0116,"Mining, metals & minerals",Small,5.5,8,LinkedIn Ads,9,0.8,Kocaeli,Korfez,Valves,Process safety & automation,Monthly,10,Active,12,On-time,Sales Rep,F**** O*******
C0117,Food & beverage,Small,8.9,18,LinkedIn Ads,8,0.7,Adana,Seyhan,Filtration solutions,Valves,Quarterly,78,Active,5,On-time,Dealer,C**** D*******
C0118,Vehicles,Medium,38.3,31,Content Marketing,8,0.8,Istanbul,Sariyer,Engine solutions,Transmissions,Monthly,24,Active,8,Occasional delay,Email,D**** S*******
C0119,Aerospace,Small,6.7,25,Webinar,12,0.9,Eskisehir,Odunpazari,Electrical circuit protection,Actuators & motion control,Monthly,15,Active,8,On-time,Dealer,C**** D*******
C0120,Healthcare,Small,8.7,11,Content Marketing,2,0.3,Antalya,Kepez,Electronic components,Life support systems,Yearly,249,Active,2,On-time,Email,C**** D*******
C0121,Residential,Small,1.5,11,Content Marketing,9,0.7,Adana,Seyhan,Wiring devices & connectivity,Conduit & cable management,Monthly,26,Active,11,On-time,Online,B**** K*******
C0122,Space,Medium,20.7,41,LinkedIn Ads,11,0.8,Kayseri,Melikgazi,Medium-voltage power systems,Actuators & motion control,Monthly,22,Pending,8,On-time,Sales Rep,H**** N*******
C0123,Oil & gas,Small,9.4,6,Email,6,0.4,Adana,Ceyhan,Medium-voltage power systems,Process safety & automation,Quarterly,84,Active,3,On-time,Sales Rep,B**** K*******
C0124,Space,Small,7.2,19,Content Marketing,11,1.0,Kayseri,Melikgazi,Actuators & motion control,Energy storage systems,Yearly,326,Active,1,On-time,Online,B**** K*******
C0125,Buildings,Small,2.9,7,Webinar,9,0.7,Kayseri,Kocasinan,Lighting & controls,Wiring devices & connectivity,Occasionally,422,Active,2,On-time,Online,B**** K*******
C0126,Food & beverage,Small,2.8,27,SEM,10,0.9,Adana,Seyhan,Valves,Pumps,Yearly,262,Active,1,On-time,Sales Rep,D**** S*******
C0127,Food & beverage,Medium,24.9,27,Trade Show,4,0.6,Adana,Seyhan,Filtration solutions,Valves,Monthly,13,Active,11,On-time,Dealer,G**** R*******
C0128,Buildings,Small,7.3,25,SEM,12,0.6,Ankara,Yenimahalle,Wiring devices & connectivity,Lighting & controls,Occasionally,399,Active,0,On-time,Online,H**** N*******
C0129,Food & beverage,Medium,48.7,19,Email,8,0.9,Ankara,Mamak,Valves,Pumps,Occasionally,402,Active,2,On-time,Dealer,A**** Y*******
C0130,Buildings,Small,4.4,29,Webinar,3,0.6,Kocaeli,Korfez,Lighting & controls,Conduit & cable management,Yearly,270,Expired,1,On-time,Sales Rep,H**** N*******
C0131,Data centres,Medium,31.0,18,Email,6,1.1,Izmir,Konak,"Server racks, enclosures",Energy storage systems,Monthly,15,Active,8,On-time,Online,D**** S*******
C0132,Utilities,Small,2.1,22,Content Marketing,8,0.7,Kocaeli,Gebze,Low-voltage power systems,Medium-voltage power systems,Quarterly,60,Active,6,On-time,Sales Rep,B**** K*******
C0133,Machine building,Small,1.6,24,Content Marketing,2,1.1,Ankara,Yenimahalle,Actuators & motion control,Hydraulic motors & generators,Yearly,300,Active,1,On-time,Dealer,D**** S*******
C0134,Data centres,Small,8.2,17,Webinar,11,1.0,Kocaeli,Korfez,Energy storage systems,Low-voltage power systems,Monthly,29,Expired,10,Occasional delay,Dealer,D**** S*******
C0135,Residential,Small,8.5,12,Webinar,6,0.5,Konya,Meram,Wiring devices & connectivity,Electronic components,Quarterly,84,Active,4,On-time,Sales Rep,F**** O*******
C0136,Utilities,Medium,44.1,33,Trade Show,2,0.8,Sakarya,Arifiye,Utility & grid solutions,Low-voltage power systems,Monthly,18,Active,9,On-time,Sales Rep,E**** T*******
C0137,Aerospace,Medium,31.0,41,Email,9,0.0,Sakarya,Serdivan,Engine solutions,Electrical circuit protection,Quarterly,74,Active,3,On-time,Sales Rep,E**** T*******
C0138,Food & beverage,Medium,35.6,19,Content Marketing,4,1.0,Kocaeli,Izmit,Valves,Filtration solutions,Monthly,27,Active,8,On-time,Sales Rep,A**** Y*******
C0139,Vehicles,Small,9.2,11,Trade Show,2,0.6,Bursa,Osmangazi,Engine solutions,Vehicle controls & automation,Quarterly,67,Pending,5,On-time,Dealer,E**** T*******
C0140,Space,Small,9.4,15,Trade Show,4,1.5,Kayseri,Melikgazi,Actuators & motion control,Energy storage systems,Quarterly,72,Pending,6,Late,Sales Rep,F**** O*******
C0141,Oil & gas,Small,4.7,28,Email,11,0.9,Ankara,Etimesgut,Process safety & automation,Medium-voltage power systems,Monthly,5,Active,14,On-time,Dealer,H**** N*******
C0142,Vehicles,Small,4.2,29,LinkedIn Ads,4,0.6,Kayseri,Melikgazi,Engine solutions,Transmissions,Monthly,22,Expired,10,On-time,Online,D**** S*******
C0143,Healthcare,Medium,12.7,19,Webinar,4,0.5,Eskisehir,Tepebasi,Electronic components,Life support systems,Monthly,21,Active,14,Occasional delay,Dealer,D**** S*******
C0144,Utilities,Small,7.1,12,Content Marketing,3,0.8,Izmir,Konak,Low-voltage power systems,Utility & grid solutions,Yearly,228,Active,1,On-time,Dealer,B**** K*******
C0145,Machine building,Medium,37.5,20,Content Marketing,6,0.7,Bursa,Yildirim,Hydraulic motors & generators,Actuators & motion control,Monthly,22,Active,11,On-time,Online,C**** D*******
C0146,Machine building,Medium,31.2,32,Content Marketing,2,1.1,Ankara,Cankaya,Actuators & motion control,Clutches and brakes,Monthly,28,Active,10,On-time,Sales Rep,F**** O*******
C0147,Utilities,Small,1.2,24,Trade Show,11,1.0,Bursa,Nilufer,Utility & grid solutions,Medium-voltage power systems,Yearly,262,Active,1,Late,Sales Rep,E**** T*******
C0148,Healthcare,Small,6.0,19,SEM,4,0.7,Eskisehir,Odunpazari,Life support systems,Safety & emergency comms,Monthly,23,Active,9,On-time,Sales Rep,D**** S*******
C0149,Food & beverage,Small,6.2,8,SEM,5,0.9,Konya,Meram,Filtration solutions,Pumps,Quarterly,80,Active,6,On-time,Dealer,C**** D*******
C0150,Utilities,Medium,38.9,41,SEM,8,1.1,Sakarya,Arifiye,Utility & grid solutions,Medium-voltage power systems,Yearly,169,Pending,1,Late,Sales Rep,C**** D*******
C0151,Vehicles,Small,8.8,20,Email,9,1.5,Konya,Selcuklu,Vehicle controls & automation,Transmissions,Quarterly,73,Active,5,Occasional delay,Online,D**** S*******
C0152,Data centres,Small,2.0,26,SEM,7,0.4,Izmir,Konak,Low-voltage power systems,Energy storage systems,Monthly,19,Active,13,Occasional delay,Online,F**** O*******
C0153,Utilities,Medium,31.1,34,Email,9,0.9,Izmir,Konak,Low-voltage power systems,Medium-voltage power systems,Monthly,30,Active,8,On-time,Sales Rep,D**** S*******
C0154,Aerospace,Small,1.1,28,Email,5,1.4,Izmir,Cigli,Actuators & motion control,Engine solutions,Monthly,27,Pending,8,On-time,Dealer,G**** R*******
